danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,song_name,title
0.774,0.563,-11.631,0.265,0.465,0.0,0.142,0.647,0.8626,0.2591,1,Murder Scene (feat. Lil Durk),Null
0.681,0.543,-8.793,0.0422,0.0299,0.0536,0.107,0.216,0.8169,0.1407,0,DarkShadowBlunts,Null
0.733,0.651,-6.892,0.0712,0.014,0.0,0.167,0.443,0.7174,0.1741,1,BERZERK,Null
0.777,0.883,-8.377,0.0833,0.0391,0.588,0.126,0.267,0.5765,0.1987,8,Null,Dirtybird Players
0.796,0.981,-5.691,0.0555,0.0012,0.906,0.0907,0.173,0.5901,0.3944,9,Null,Techno / Minimal / Hardcore/ Melodic / Dark
0.629,0.966,-7.625,0.171,0.0014,0.409,0.141,0.179,0.6356,0.4206,11,Null,PSYTRANCE BANGERS best new 2020
0.48,0.936,-3.079,0.0472,0.019,0.0,0.677,0.233,0.6837,0.1967,14,Null,Euphoric Hardstyle
0.367,0.472,-11.902,0.0689,0.195,0.0,0.0874,0.761,0.8157,0.1606,7,Son Of A Preacher Man,Null
0.29,0.999,1.833,0.391,0.0228,0.0,0.278,0.269,0.6807,0.2383,2,TERRAFXRM.,Null
0.657,0.941,-3.919,0.061,0.0476,0.0,0.0797,0.879,0.6183,0.2436,5,Jai Ho! (You Are My Destiny),Null
0.767,0.496,-9.519,0.236,0.767,0.0158,0.141,0.316,0.6582,0.1552,1,Tortured Genius,Null
0.562,0.727,-5.77,0.0518,0.0038,0.588,0.172,0.252,0.7901,0.476,13,Null,Liqduicity Drum & Bass
0.531,0.75,-5.831,0.111,0.0063,0.0001,0.117,0.198,0.7715,0.2191,4,Heartless,Null
0.482,0.551,-11.567,0.0661,0.218,0.859,0.135,0.0433,0.8895,0.2629,0,Why,Null
0.46,0.947,-7.664,0.0456,0.0,0.9,0.274,0.182,0.6265,0.4876,9,Null,techno. only. (08/02)
0.54,0.98,-1.48,0.097,0.012,0.0007,0.113,0.317,0.6948,0.2298,14,Null,Best Hardstyle ever made
0.611,0.554,-6.39,0.193,0.145,0.0012,0.171,0.0772,0.8767,0.0805,2,offa my wave,Null
0.837,0.389,-8.137,0.474,0.0629,0.0,0.128,0.193,0.7714,0.1616,1,Dolo,Null
0.867,0.614,-5.92,0.142,0.0155,0.0,0.113,0.762,0.681,0.2053,1,Le Le Smizzle,Null
0.787,0.863,-9.245,0.0575,0.0102,0.668,0.167,0.114,0.581,0.6224,8,Null,tech house
0.519,0.809,-6.362,0.556,0.388,0.0,0.275,0.262,0.6629,0.2894,1,03' Adolescence,Null
0.684,0.458,-8.25,0.0303,0.209,0.0,0.273,0.502,0.8894,0.2375,5,How Do I Breathe,Null
0.596,0.912,-6.133,0.232,0.0,0.0079,0.326,0.354,0.5992,0.1274,10,Null,Progressive Trance
0.637,0.988,-3.583,0.293,0.291,0.001,0.417,0.642,0.6808,0.2699,12,Null,HEADBANGERS:Dubstep/Riddim
0.462,0.902,-3.532,0.0582,0.0005,0.465,0.09,0.113,0.6366,0.2353,12,Null,I'm a fucking Headbanger
0.836,0.664,-10.035,0.401,0.218,0.0,0.116,0.656,0.7266,0.2167,0,RED Rust,Null
0.565,0.984,-1.374,0.0844,0.0015,0.901,0.253,0.263,0.79,0.2841,13,Null,Drum and Bass Top 50
0.784,0.828,-6.765,0.223,0.0771,0.0,0.346,0.629,0.47,0.287,7,Oh Shit,Null
0.718,0.668,-4.162,0.137,0.0254,0.0078,0.124,0.038,0.5939,0.085,2,kamikaze,Null
0.704,0.758,-3.537,0.0402,0.233,0.0014,0.0924,0.534,0.5448,0.2354,6,Circles,Null
0.517,0.58,-5.501,0.0997,0.654,0.0,0.62,0.649,0.7785,0.2247,5,HOLD UP (feat. Queen Naija),Null
